"id","value","length","source"
"2827","thamrin","7","regional-002"
"2828","arbain","6","regional-002"
"2829","pasar","5","regional-002"
"2830","daya","4","regional-002"
"2831","makassar","8","regional-002"
"2832","warga","5","regional-003"
"2833","antre","5","regional-003"
"2834","basuh","5","regional-003"
"2835","muka","4","regional-003"
"2836","sumur","5","regional-003"
"2837","dekat","5","regional-003"
"2838","makam","5","regional-003"
"2839","banda","5","regional-003"
"2840","aceh","4","regional-003"
"2841","kompas","6","regional-003"
"2842","air","3","regional-003"
"2843","sumur","5","regional-003"
"2844","yang","4","regional-003"
"2845","berada","6","regional-003"
"2846","dekat","5","regional-003"
"2847","makam","5","regional-003"
"2848","ulama","5","regional-003"
"2849","aceh","4","regional-003"
"2850","syech","5","regional-003"
"2851","abdurrauf","9","regional-003"
"2852","ali","3","regional-003"
"2853","alfansuri","9","regional-003"
"2854","atau","4","regional-003"
"2855","yang","4","regional-003"
"2856","terkenal","8","regional-003"
"2857","dengan","6","regional-003"
"2858","nama","4","regional-003"
"2859","teungku","7","regional-003"
"2860","syiah","5","regional-003"
"2861","kuala","5","regional-003"
"2862","gampong","7","regional-003"
"2863","deah","4","regional-003"
"2864","raya","4","regional-003"
"2865","kecamatan","9","regional-003"
"2866","syiah","5","regional-003"
"2867","kuala","5","regional-003"
"2868","kota","4","regional-003"
"2869","banda","5","regional-003"
"2870","aceh","4","regional-003"
"2871","disesaki","8","regional-003"
"2872","pengunjung","10","regional-003"
"2873","yang","4","regional-003"
"2874","ingin","5","regional-003"
"2875","membasuh","8","regional-003"
"2876","wajah","5","regional-003"
"2877","atau","4","regional-003"
"2878","memandikan","10","regional-003"
"2879","balita","6","regional-003"
"2880","para","4","regional-003"
"2881","peziarah","8","regional-003"
"2882","rela","4","regional-003"
"2883","antre","5","regional-003"
"2884","lama","4","regional-003"
"2885","untuk","5","regional-003"
"2886","mendapatkan","11","regional-003"
"2887","segayung","8","regional-003"
"2888","sumur","5","regional-003"
"2889","yang","4","regional-003"
"2890","berada","6","regional-003"
"2891","dekat","5","regional-003"
"2892","kompleks","8","regional-003"
"2893","makam","5","regional-003"
"2894","mulai","5","regional-003"
"2895","dari","4","regional-003"
"2896","orang","5","regional-003"
"2897","hingga","6","regional-003"
"2898","anak-anak","9","regional-003"
"2899","menurut","7","regional-003"
"2900","penjaga","7","regional-003"
"2901","makam","5","regional-003"
"2902","syech","5","regional-003"
"2903","abdurrauf","9","regional-003"
"2904","rosmaniar","9","regional-003"
"2905","ritual","6","regional-003"
"2906","tersebut","8","regional-003"
"2907","tidak","5","regional-003"
"2908","menjurus","8","regional-003"
"2909","pada","4","regional-003"
"2910","perbuatan","9","regional-003"
"2911","syirik","6","regional-003"
"2912","atau","4","regional-003"
"2913","menduakan","9","regional-003"
"2914","allah","5","regional-003"
"2915","hanya","5","regional-003"
"2916","sebagai","7","regional-003"
"2917","tanda","5","regional-003"
"2918","kekaguman","9","regional-003"
"2919","masyarakat","10","regional-003"
"2920","aceh","4","regional-003"
"2921","pada","4","regional-003"
"2922","ulama","5","regional-003"
"2923","besar","5","regional-003"
"2924","menurutnya","10","regional-003"
"2925","larangan","8","regional-003"
"2926","ritual","6","regional-003"
"2927","yang","4","regional-003"
"2928","mengarah","8","regional-003"
"2929","kepada","6","regional-003"
"2930","syirik","6","regional-003"
"2931","dibuat","6","regional-003"
"2932","secara","6","regional-003"
"2933","tertulis","8","regional-003"
"2934","papan","5","regional-003"
"2935","pengumuman","10","regional-003"
"2936","seperti","7","regional-003"
"2937","dilarang","8","regional-003"
"2938","mengambil","9","regional-003"
"2939","batu","4","regional-003"
"2940","atau","4","regional-003"
"2941","tanah","5","regional-003"
"2942","dengan","6","regional-003"
"2943","maksud","6","regional-003"
"2944","mendapat","8","regional-003"
"2945","berkah","6","regional-003"
"2946","dari","4","regional-003"
"2947","benda","5","regional-003"
"2948","tersebut","8","regional-003"
"2949","kalau","5","regional-003"
"2950","membasuh","8","regional-003"
"2951","muka","4","regional-003"
"2952","atau","4","regional-003"
"2953","memandikan","10","regional-003"
"2954","balita","6","regional-003"
"2955","tidak","5","regional-003"
"2956","masalah","7","regional-003"
"2957","karena","6","regional-003"
"2958","ini","3","regional-003"
"2959","juga","4","regional-003"
"2960","untuk","5","regional-003"
"2961","wudhu","5","regional-003"
"2962","tukas","5","regional-003"
"2963","rosmaniar","9","regional-003"
"2964","diakuinya","9","regional-003"
"2965","sejak","5","regional-003"
"2966","pagi","4","regional-003"
"2967","hingga","6","regional-003"
"2968","sore","4","regional-003"
"2969","hari","4","regional-003"
"2970","pengunjung","10","regional-003"
"2971","yang","4","regional-003"
"2972","antre","5","regional-003"
"2973","ini","3","regional-003"
"2974","kian","4","regional-003"
"2975","ramai","5","regional-003"
"2976","bahkan","6","regional-003"
"2977","banyak","6","regional-003"
"2978","warga","5","regional-003"
"2979","yang","4","regional-003"
"2980","sengaja","7","regional-003"
"2981","membawa","7","regional-003"
"2982","pulang","6","regional-003"
"2983","sedikit","7","regional-003"
"2984","untuk","5","regional-003"
"2985","dikonsumsi","10","regional-003"
"2986","akses","5","regional-004"
"2987","desa-desa","9","regional-004"
"2988","larantuka","9","regional-004"
"2989","makin","5","regional-004"
"2990","sulitakses","10","regional-004"
"2991","sejumlah","8","regional-004"
"2992","desa","4","regional-004"
"2993","ntt","3","regional-004"
"2994","makin","5","regional-004"
"2995","sulit","5","regional-004"
"2996","menyusul","8","regional-004"
"2997","hujan","5","regional-004"
"2998","deras","5","regional-004"
"2999","yang","4","regional-004"
"3000","menyebabkan","11","regional-004"
"3001","sejumlah","8","regional-004"
"3002","ruas","4","regional-004"
"3003","jalan","5","regional-004"
"3004","tanah","5","regional-004"
"3005","sulit","5","regional-004"
"3006","dilalui","7","regional-004"
"3007","kendaraan","9","regional-004"
"3008","kepala","6","regional-004"
"3009","desa","4","regional-004"
"3010","demondei","8","regional-004"
"3011","kecamatan","9","regional-004"
"3012","wotanulumado","12","regional-004"
"3013","flores","6","regional-004"
"3014","timur","5","regional-004"
"3015","wenseslaus","10","regional-004"
"3016","woda","4","regional-004"
"3017","larantuka","9","regional-004"
"3018","rabu","4","regional-004"
"3019","mengatakan","10","regional-004"
"3020","akses","5","regional-004"
"3021","jalan","5","regional-004"
"3022","desa","4","regional-004"
"3023","demondei","8","regional-004"
"3024","watodei","7","regional-004"
"3025","beludua","7","regional-004"
"3026","desa-desa","9","regional-004"
"3027","lain","4","regional-004"
"3028","pulau","5","regional-004"
"3029","adonara","7","regional-004"
"3030","yang","4","regional-004"
"3031","masih","5","regional-004"
"3032","berupa","6","regional-004"
"3033","jalan","5","regional-004"
"3034","tanah","5","regional-004"
"3035","sulit","5","regional-004"
"3036","dilalui","7","regional-004"
"3037","kendaraan","9","regional-004"
"3038","biasanya","8","regional-004"
"3039","ojek","4","regional-004"
"3040","sepeda","6","regional-004"
"3041","motor","5","regional-004"
"3042","bisa","4","regional-004"
"3043","tembus","6","regional-004"
"3044","meski","5","regional-004"
"3045","jalan","5","regional-004"
"3046","buruk","5","regional-004"
"3047","tetapi","6","regional-004"
"3048","musim","5","regional-004"
"3049","hujan","5","regional-004"
"3050","seperti","7","regional-004"
"3051","sekarang","8","regional-004"
"3052","sepeda","6","regional-004"
"3053","motor","5","regional-004"
"3054","tak","3","regional-004"
"3055","bisa","4","regional-004"
"3056","lewat","5","regional-004"
"3057","jalan","5","regional-004"
"3058","tanah","5","regional-004"
"3059","sangat","6","regional-004"
"3060","licin","5","regional-004"
"3061","terjadi","7","regional-004"
"3062","longsor","7","regional-004"
"3063","beberapa","8","regional-004"
"3064","titik","5","regional-004"
"3065","struktur","8","regional-004"
"3066","jalan","5","regional-004"
"3067","menanjak","8","regional-004"
"3068","kata","4","regional-004"
"3069","woda","4","regional-004"
"3070","warga","5","regional-004"
"3071","desa","4","regional-004"
"3072","kembali","7","regional-004"
"3073","mengandalkan","12","regional-004"
"3074","ternak","6","regional-004"
"3075","kuda","4","regional-004"
"3076","atau","4","regional-004"
"3077","tenaga","6","regional-004"
"3078","manusia","7","regional-004"
"3079","untuk","5","regional-004"
"3080","mengangkut","10","regional-004"
"3081","barang","6","regional-004"
"3082","hasil","5","regional-004"
"3083","pertanian","9","regional-004"
"3084","pusat","5","regional-004"
"3085","pemasaran","9","regional-004"
"3086","waiwerang","9","regional-004"
"3087","baniona","7","regional-004"
"3088","waiwadan","8","regional-004"
"3089","atau","4","regional-004"
"3090","larantuka","9","regional-004"
"3091","kondisi","7","regional-004"
"3092","jalan","5","regional-004"
"3093","desa","4","regional-004"
"3094","sulit","5","regional-004"
"3095","dilalui","7","regional-004"
"3096","pada","4","regional-004"
"3097","musim","5","regional-004"
"3098","hujan","5","regional-004"
"3099","tidak","5","regional-004"
"3100","hanya","5","regional-004"
"3101","flores","6","regional-004"
"3102","timur","5","regional-004"
"3103","tetapi","6","regional-004"
"3104","menyeluruh","10","regional-004"
"3105","kabupaten","9","regional-004"
"3106","hanya","5","regional-004"
"3107","jalan","5","regional-004"
"3108","jalan","5","regional-004"
"3109","kota","4","regional-004"
"3110","kupang","6","regional-004"
"3111","masih","5","regional-004"
"3112","dilalui","7","regional-004"
"3113","kendaraan","9","regional-004"
"3114","dengan","6","regional-004"
"3115","mudah","5","regional-004"
"3116","enggan","6","regional-005"
"3117","lengser","7","regional-005"
"3118","kabar","5","regional-005"
"3119","bupati","6","regional-005"
"3120","aceng","5","regional-005"
"3121","jakarta","7","regional-005"
"3122","kompas","6","regional-005"
"3123","bupati","6","regional-005"
"3124","garut","5","regional-005"
"3125","aceng","5","regional-005"
"3126","fikri","5","regional-005"
"3127","belum","5","regional-005"
"3128","memberikan","10","regional-005"
"3129","jawaban","7","regional-005"
"3130","kepada","6","regional-005"
"3131","mahkamah","8","regional-005"
"3132","agung","5","regional-005"
"3133","terkait","7","regional-005"
"3134","rekomendasi","11","regional-005"
"3135","pemakzulannya","13","regional-005"
"3136","oleh","4","regional-005"
"3137","dprd","4","regional-005"
"3138","kabupaten","9","regional-005"
"3139","garut","5","regional-005"
"3140","padahal","7","regional-005"
"3141","sudah","5","regional-005"
"3142","delapan","7","regional-005"
"3143","hari","4","regional-005"
"3144","rekomendasi","11","regional-005"
"3145","dprd","4","regional-005"
"3146","diterima","8","regional-005"
"3147","mahkamah","8","regional-005"
"3148","agung","5","regional-005"
"3149","terhitung","9","regional-005"
"3150","sejak","5","regional-005"
"3151","surat","5","regional-005"
"3152","tersebut","8","regional-005"
"3153","masuk","5","regional-005"
"3154","pada","4","regional-005"
"3155","januari","7","regional-005"
"3156","aceng","5","regional-005"
"3157","belum","5","regional-005"
"3158","mengirimkan","11","regional-005"
"3159","memberikan","10","regional-005"
"3160","jawabannya","10","regional-005"
"3161","kepada","6","regional-005"
"3162","kata","4","regional-005"
"3163","kepala","6","regional-005"
"3164","biro","4","regional-005"
"3165","hukum","5","regional-005"
"3166","humas","5","regional-005"
"3167","ridwan","6","regional-005"
"3168","mansyur","7","regional-005"
"3169","jakarta","7","regional-005"
"3170","rabu","4","regional-005"
"3171","ridwan","6","regional-005"
"3172","mengatakan","10","regional-005"
"3173","memberikan","10","regional-005"
"3174","batas","5","regional-005"
"3175","hingga","6","regional-005"
"3176","januari","7","regional-005"
"3177","untuk","5","regional-005"
"3178","aceng","5","regional-005"
"3179","agar","4","regional-005"
"3180","memberikan","10","regional-005"
"3181","tanggapan","9","regional-005"
"3182","atas","4","regional-005"
"3183","surat","5","regional-005"
"3184","rekomendasi","11","regional-005"
"3185","dprd","4","regional-005"
"3186","aceng","5","regional-005"
"3187","terangnya","9","regional-005"
"3188","menyerahkan","11","regional-005"
"3189","jawabannya","10","regional-005"
"3190","maksimal","8","regional-005"
"3191","hari","4","regional-005"
"3192","terhitung","9","regional-005"
"3193","setelah","7","regional-005"
"3194","perkara","7","regional-005"
"3195","teregistrasi","12","regional-005"
"3196","panitera","8","regional-005"
"3197","jika","4","regional-005"
"3198","sampai","6","regional-005"
"3199","tenggat","7","regional-005"
"3200","waktu","5","regional-005"
"3201","yang","4","regional-005"
"3202","ditentukan","10","regional-005"
"3203","aceng","5","regional-005"
"3204","tidak","5","regional-005"
"3205","memberi","7","regional-005"
"3206","tanggapan","9","regional-005"
"3207","maka","4","regional-005"
"3208","tetap","5","regional-005"
"3209","akan","4","regional-005"
"3210","menyidangkan","12","regional-005"
"3211","rekomendasi","11","regional-005"
"3212","dprd","4","regional-005"
"3213","majelis","7","regional-005"
"3214","tetap","5","regional-005"
"3215","akan","4","regional-005"
"3216","melanjutkan","11","regional-005"
"3217","persidangan","11","regional-005"
"3218","tanpa","5","regional-005"
"3219","jawaban","7","regional-005"
"3220","dari","4","regional-005"
"3221","aceng","5","regional-005"
"3222","ujar","4","regional-005"
"3223","ridwan","6","regional-005"
"3224","ridwan","6","regional-005"
"3225","menambahkan","11","regional-005"
"3226","proses","6","regional-005"
"3227","pemeriksaan","11","regional-005"
"3228","rekomendasi","11","regional-005"
"3229","pemberhentian","13","regional-005"
"3230","aceng","5","regional-005"
"3231","akan","4","regional-005"
"3232","dilaksanakan","12","regional-005"
"3233","dalam","5","regional-005"
"3234","waktu","5","regional-005"
"3235","hari","4","regional-005"
"3236","menurutnya","10","regional-005"
"3237","juga","4","regional-005"
"3238","telah","5","regional-005"
"3239","menunjuk","8","regional-005"
"3240","hakim","5","regional-005"
"3241","memproses","9","regional-005"
"3242","kasus","5","regional-005"
"3243","aceng","5","regional-005"
"3244","tersebut","8","regional-005"
"3245","merinci","7","regional-005"
"3246","majelis","7","regional-005"
"3247","hakim","5","regional-005"
"3248","terdiri","7","regional-005"
"3249","dari","4","regional-005"
"3250","ketua","5","regional-005"
"3251","prof","4","regional-005"
"3252","paulus","6","regional-005"
"3253","effendi","7","regional-005"
"3254","lotulung","8","regional-005"
"3255","didampingi","10","regional-005"
"3256","anggota","7","regional-005"
"3257","majelis","7","regional-005"
"3258","yulius","6","regional-005"
"3259","dan","3","regional-005"
"3260","supandi","7","regional-005"
"3261","sebelumnya","10","regional-005"
"3262","diberitakan","11","regional-005"
"3263","telah","5","regional-005"
"3264","menerima","8","regional-005"
"3265","surat","5","regional-005"
"3266","rekomendasi","11","regional-005"
"3267","pemberhentian","13","regional-005"
"3268","terhadap","8","regional-005"
"3269","bupati","6","regional-005"
"3270","garut","5","regional-005"
"3271","aceng","5","regional-005"
"3272","fikri","5","regional-005"
"3273","pada","4","regional-005"
"3274","januari","7","regional-005"
"3275","dengan","6","regional-005"
"3276","nomor","5","regional-005"
"3277","register","8","regional-005"
"3278","khs","3","regional-005"
"3279","pihak","5","regional-005"
"3280","pemohon","7","regional-005"
"3281","dari","4","regional-005"
"3282","perkara","7","regional-005"
"3283","adalah","6","regional-005"
"3284","dprd","4","regional-005"
"3285","garut","5","regional-005"
"3286","pihak","5","regional-005"
"3287","dprd","4","regional-005"
"3288","kabupaten","9","regional-005"
"3289","garut","5","regional-005"
"3290","telah","5","regional-005"
"3291","mengusulkan","11","regional-005"
"3292","pemberhentian","13","regional-005"
"3293","jabatan","7","regional-005"
"3294","bupati","6","regional-005"
"3295","garut","5","regional-005"
"3296","aceng","5","regional-005"
"3297","fikri","5","regional-005"
"3298","kepada","6","regional-005"
"3299","untuk","5","regional-005"
"3300","selanjutnya","11","regional-005"
"3301","dilakukan","9","regional-005"
"3302","pengujian","9","regional-005"
"3303","rekomendasi","11","regional-005"
"3304","pemberhentian","13","regional-005"
"3305","diajukan","8","regional-005"
"3306","setelah","7","regional-005"
"3307","tujuh","5","regional-005"
"3308","fraksi","6","regional-005"
"3309","dprd","4","regional-005"
"3310","sepakat","7","regional-005"
"3311","bupati","6","regional-005"
"3312","aceng","5","regional-005"
"3313","melanggar","9","regional-005"
"3314","undang-undang","13","regional-005"
"3315","nomor","5","regional-005"
"3316","tahun","5","regional-005"
"3317","tentang","7","regional-005"
"3318","pemerintah","10","regional-005"
"3319","daerah","6","regional-005"
"3320","undang-undang","13","regional-005"
"3321","nomor","5","regional-005"
"3322","tahun","5","regional-005"
"3323","tentang","7","regional-005"
"3324","perkawinan","10","regional-005"
"3325","sebanyak","8","regional-005"
"3326","dari","4","regional-005"
"3327","anggota","7","regional-005"
"3328","dewan","5","regional-005"
"3329","menyetujui","10","regional-005"
"3330","keputusan","9","regional-005"
"3331","tersebut","8","regional-005"
"3332","disampaikan","11","regional-005"
"3333","ma","2","regional-005"
"3334","setelah","7","regional-005"
"3335","mendapatkan","11","regional-005"
"3336","hasil","5","regional-005"
"3337","putusan","7","regional-005"
"3338","dari","4","regional-005"
"3339","atas","4","regional-005"
"3340","pengujian","9","regional-005"
"3341","dprd","4","regional-005"
"3342","garut","5","regional-005"
"3343","akan","4","regional-005"
"3344","mengajukan","10","regional-005"
"3345","pemberhentian","13","regional-005"
"3346","aceng","5","regional-005"
"3347","kepada","6","regional-005"
"3348","kementerian","11","regional-005"
"3349","dalam","5","regional-005"
"3350","negeri","6","regional-005"
"3351","aceng","5","regional-005"
"3352","sendiri","7","regional-005"
"3353","telah","5","regional-005"
"3354","menggugat","9","regional-005"
"3355","dprd","4","regional-005"
"3356","garut","5","regional-005"
"3357","ptun","4","regional-005"
"3358","bandung","7","regional-005"
"3359","karena","6","regional-005"
"3360","rekomendasi","11","regional-005"
"3361","tersebut","8","regional-005"
"3362","gugatan","7","regional-005"
"3363","aceng","5","regional-005"
"3364","diterima","8","regional-005"
"3365","ptun","4","regional-005"
"3366","bandung","7","regional-005"
"3367","pada","4","regional-005"
"3368","desember","8","regional-005"
"3369","silam","5","regional-005"
"3370","gugatan","7","regional-005"
"3371","aceng","5","regional-005"
"3372","didaftarkan","11","regional-005"
"3373","oleh","4","regional-005"
"3374","kuasa","5","regional-005"
"3375","hukumnya","8","regional-005"
"3376","ujang","5","regional-005"
"3377","sujai","5","regional-005"
"3378","sujai","5","regional-005"
"3379","berpendapat","11","regional-005"
"3380","rekomendasi","11","regional-005"
"3381","dari","4","regional-005"
"3382","dprd","4","regional-005"
"3383","garut","5","regional-005"
"3384","cacat","5","regional-005"
"3385","hukum","5","regional-005"
"3386","juga","4","regional-005"
"3387","optimistis","10","regional-005"
"3388","gugatannya","10","regional-005"
"3389","akan","4","regional-005"
"3390","dikabulkan","10","regional-005"
"3391","ptun","4","regional-005"
"3392","aceng","5","regional-005"
"3393","tidak","5","regional-005"
"3394","lengser","7","regional-005"
"3395","seperti","7","regional-005"
"3396","yang","4","regional-005"
"3397","diharapkan","10","regional-005"
"3398","dprd","4","regional-005"
"3399","garut","5","regional-005"
"3400","ferrer","6","olahraga-001"
"3401","babak","5","olahraga-001"
"3402","kedua","5","olahraga-001"
"3403","untuk","5","olahraga-001"
"3404","bertemu","7","olahraga-001"
"3405","penakluk","8","olahraga-001"
"3406","karlovicpetenis","15","olahraga-001"
"3407","spanyol","7","olahraga-001"
"3408","yang","4","olahraga-001"
"3409","ditempatkan","11","olahraga-001"
"3410","sebagai","7","olahraga-001"
"3411","unggulan","8","olahraga-001"
"3412","keempat","7","olahraga-001"
"3413","david","5","olahraga-001"
"3414","ferrer","6","olahraga-001"
"3415","melangkah","9","olahraga-001"
"3416","babak","5","olahraga-001"
"3417","kedua","5","olahraga-001"
"3418","grand","5","olahraga-001"
"3419","slam","4","olahraga-001"
"3420","australia","9","olahraga-001"
"3421","terbuka","7","olahraga-001"
"3422","pada","4","olahraga-001"
"3423","laga","4","olahraga-001"
"3424","perdananya","10","olahraga-001"
"3425","turnamen","8","olahraga-001"
"3426","senin","5","olahraga-001"
"3427","ferrer","6","olahraga-001"
"3428","mengalahkan","11","olahraga-001"
"3429","pemain","6","olahraga-001"
"3430","belgia","6","olahraga-001"
"3431","oliver","6","olahraga-001"
"3432","rochus","6","olahraga-001"
"3433","dengan","6","olahraga-001"
"3434","straight","8","olahraga-001"
"3435","ferrer","6","olahraga-001"
"3436","naik","4","olahraga-001"
"3437","menjadi","7","olahraga-001"
"3438","unggulan","8","olahraga-001"
"3439","keempat","7","olahraga-001"
"3440","menyusul","8","olahraga-001"
"3441","pengunduran","11","olahraga-001"
"3442","diri","4","olahraga-001"
"3443","rekan","5","olahraga-001"
"3444","senegaranya","11","olahraga-001"
"3445","yang","4","olahraga-001"
"3446","merupakan","9","olahraga-001"
"3447","finalis","7","olahraga-001"
"3448","tahun","5","olahraga-001"
"3449","lalu","4","olahraga-001"
"3450","rafael","6","olahraga-001"
"3451","nadal","5","olahraga-001"
"3452","petenis","7","olahraga-001"
"3453","kidal","5","olahraga-001"
"3454","peringkat","9","olahraga-001"
"3455","empat","5","olahraga-001"
"3456","dunia","5","olahraga-001"
"3457","belum","5","olahraga-001"
"3458","sehingga","8","olahraga-001"
"3459","siap","4","olahraga-001"
"3460","menghadapi","10","olahraga-001"
"3461","grand","5","olahraga-001"
"3462","slam","4","olahraga-001"
"3463","awal","4","olahraga-001"
"3464","tahun","5","olahraga-001"
"3465","tersebut","8","olahraga-001"
"3466","babak","5","olahraga-001"
"3467","kedua","5","olahraga-001"
"3468","ferrer","6","olahraga-001"
"3469","yang","4","olahraga-001"
"3470","pekan","5","olahraga-001"
"3471","lalu","4","olahraga-001"
"3472","meraih","6","olahraga-001"
"3473","gelar","5","olahraga-001"
"3474","keempat","7","olahraga-001"
"3475","auckland","8","olahraga-001"
"3476","setelah","7","olahraga-001"
"3477","menaklukkan","11","olahraga-001"
"3478","petenis","7","olahraga-001"
"3479","jerman","6","olahraga-001"
"3480","philipp","7","olahraga-001"
"3481","kohlschreiber","13","olahraga-001"
"3482","akan","4","olahraga-001"
"3483","bertemu","7","olahraga-001"
"3484","pemain","6","olahraga-001"
"3485","amerika","7","olahraga-001"
"3486","smyczek","7","olahraga-001"
"3487","yang","4","olahraga-001"
"3488","menyingkirkan","13","olahraga-001"
"3489","pemain","6","olahraga-001"
"3490","kroasia","7","olahraga-001"
"3491","karlovic","8","olahraga-001"
"3492","dengan","6","olahraga-001"
"3493","bagi","4","olahraga-001"
"3494","ferrer","6","olahraga-001"
"3495","hasil","5","olahraga-001"
"3496","membuat","7","olahraga-001"
"3497","menambah","8","olahraga-001"
"3498","panjang","7","olahraga-001"
"3499","rekor","5","olahraga-001"
"3500","kemenangan","10","olahraga-001"
"3501","atas","4","olahraga-001"
"3502","rochus","6","olahraga-001"
"3503","menjadi","7","olahraga-001"
"3504","delapan","7","olahraga-001"
"3505","kali","4","olahraga-001"
"3506","dari","4","olahraga-001"
"3507","total","5","olahraga-001"
"3508","pertemuan","9","olahraga-001"
"3509","mereka","6","olahraga-001"
"3510","petenis","7","olahraga-001"
"3511","berusia","7","olahraga-001"
"3512","tahun","5","olahraga-001"
"3513","juga","4","olahraga-001"
"3514","selalu","6","olahraga-001"
"3515","tampil","6","olahraga-001"
"3516","setiap","6","olahraga-001"
"3517","grand","5","olahraga-001"
"3518","slam","4","olahraga-001"
"3519","sejak","5","olahraga-001"
"3520","melakukan","9","olahraga-001"
"3521","debutnya","8","olahraga-001"
"3522","australia","9","olahraga-001"
"3523","terbuka","7","olahraga-001"
"3524","lolos","5","olahraga-002"
"3525","radwanska","9","olahraga-002"
"3526","catat","5","olahraga-002"
"3527","kemenangan","10","olahraga-002"
"3528","beruntun","8","olahraga-002"
"3529","awal","4","olahraga-002"
"3530","agnieszka","9","olahraga-002"
"3531","radwanska","9","olahraga-002"
"3532","mencatat","8","olahraga-002"
"3533","kemenangan","10","olahraga-002"
"3534","secara","6","olahraga-002"
"3535","berturut-turut","14","olahraga-002"
"3536","awal","4","olahraga-002"
"3537","tahun","5","olahraga-002"
"3538","setelah","7","olahraga-002"
"3539","mengalahkan","11","olahraga-002"
"3540","pemain","6","olahraga-002"
"3541","australia","9","olahraga-002"
"3542","bojana","6","olahraga-002"
"3543","bobusic","7","olahraga-002"
"3544","babak","5","olahraga-002"
"3545","pertama","7","olahraga-002"
"3546","grand","5","olahraga-002"
"3547","slam","4","olahraga-002"
"3548","australia","9","olahraga-002"
"3549","terbuka","7","olahraga-002"
"3550","senin","5","olahraga-002"
"3551","sebelumnya","10","olahraga-002"
"3552","pemain","6","olahraga-002"
"3553","polandia","8","olahraga-002"
"3554","yang","4","olahraga-002"
"3555","ditempatkan","11","olahraga-002"
"3556","sebagai","7","olahraga-002"
"3557","unggulan","8","olahraga-002"
"3558","keempat","7","olahraga-002"
"3559","telah","5","olahraga-002"
"3560","merebut","7","olahraga-002"
"3561","gelar","5","olahraga-002"
"3562","sydney","6","olahraga-002"
"3563","international","13","olahraga-002"
"3564","pada","4","olahraga-002"
"3565","sabtu","5","olahraga-002"
"3566","usai","4","olahraga-002"
"3567","mengalahkan","11","olahraga-002"
"3568","dominika","8","olahraga-002"
"3569","cibulkova","9","olahraga-002"
"3570","dari","4","olahraga-002"
"3571","slovakia","8","olahraga-002"
"3572","adalah","6","olahraga-002"
"3573","gelar","5","olahraga-002"
"3574","keduanya","8","olahraga-002"
"3575","setelah","7","olahraga-002"
"3576","sepekan","7","olahraga-002"
"3577","sebelumnya","10","olahraga-002"
"3578","memenangkan","11","olahraga-002"
"3579","turnamen","8","olahraga-002"
"3580","auckland","8","olahraga-002"
"3581","selandia","8","olahraga-002"
"3582","baru","4","olahraga-002"
"3583","yang","4","olahraga-002"
"3584","membuat","7","olahraga-002"
"3585","pemain","6","olahraga-002"
"3586","berusia","7","olahraga-002"
"3587","tahun","5","olahraga-002"
"3588","mengoleksi","10","olahraga-002"
"3589","gelar","5","olahraga-002"
"3590","tunggal","7","olahraga-002"
"3591","sepanjang","9","olahraga-002"
"3592","kariernya","9","olahraga-002"
"3593","bobusic","7","olahraga-002"
"3594","hanya","5","olahraga-002"
"3595","bisa","4","olahraga-002"
"3596","memberikan","10","olahraga-002"
"3597","perlawanan","10","olahraga-002"
"3598","sengit","6","olahraga-002"
"3599","set","3","olahraga-002"
"3600","pembuka","7","olahraga-002"
"3601","bahkan","6","olahraga-002"
"3602","nyaris","6","olahraga-002"
"3603","memenanginya","12","olahraga-002"
"3604","ketika","6","olahraga-002"
"3605","unggul","6","olahraga-002"
"3606","memegang","8","olahraga-002"
"3607","servis","6","olahraga-002"
"3608","sayang","6","olahraga-002"
"3609","membuang","8","olahraga-002"
"3610","peluang","7","olahraga-002"
"3611","karena","6","olahraga-002"
"3612","setelah","7","olahraga-002"
"3613","radwanska","9","olahraga-002"
"3614","melakukan","9","olahraga-002"
"3615","break","5","olahraga-002"
"3616","merebut","7","olahraga-002"
"3617","kemenangan","10","olahraga-002"
"3618","dua","3","olahraga-002"
"3619","game","4","olahraga-002"
"3620","selanjutnya","11","olahraga-002"
"3621","untuk","5","olahraga-002"
"3622","menang","6","olahraga-002"
"3623","monaco","6","olahraga-003"
"3624","jadi","4","olahraga-003"
"3625","pemain","6","olahraga-003"
"3626","unggulan","8","olahraga-003"
"3627","yang","4","olahraga-003"
"3628","lebih","5","olahraga-003"
"3629","dulu","4","olahraga-003"
"3630","tersingkirpetenis","17","olahraga-003"
"3631","argentina","9","olahraga-003"
"3632","juan","4","olahraga-003"
"3633","monaco","6","olahraga-003"
"3634","menjadi","7","olahraga-003"
"3635","pemain","6","olahraga-003"
"3636","pertama","7","olahraga-003"
"3637","yang","4","olahraga-003"
"3638","diunggulkan","11","olahraga-003"
"3639","yang","4","olahraga-003"
"3640","tersingkir","10","olahraga-003"
"3641","grand","5","olahraga-003"
"3642","slam","4","olahraga-003"
"3643","australia","9","olahraga-003"
"3644","terbuka","7","olahraga-003"
"3645","senin","5","olahraga-003"
"3646","diganggu","8","olahraga-003"
"3647","masalah","7","olahraga-003"
"3648","cedera","6","olahraga-003"
"3649","sehingga","8","olahraga-003"
"3650","kalah","5","olahraga-003"
"3651","dari","4","olahraga-003"
"3652","andrey","6","olahraga-003"
"3653","kuznetsov","9","olahraga-003"
"3654","asal","4","olahraga-003"
