"id","input","output","process_time","issue","source"
"2659","tempat","tempat","0.00324",,"regional-002"
"2660","terduga","duga","0.00400",,"regional-002"
"2661","teroris","teroris","0.00309",,"regional-002"
"2662","fahri","fahri","0.00517","lemma_not_found","regional-002"
"2663","menyimpan","simpan","0.00505",,"regional-002"
"2664","buah","buah","0.00302",,"regional-002"
"2665","pipa","pipa","0.00318",,"regional-002"
"2666","aktif","aktif","0.00334",,"regional-002"
"2667","kemudian","kemudian","0.00386",,"regional-002"
"2668","penggeledahan","geledah","0.00560",,"regional-002"
"2669","dilakukan","laku","0.00555",,"regional-002"
"2670","pukul","pukul","0.00333",,"regional-002"
"2671","rumah","rumah","0.00370",,"regional-002"
"2672","syarifudin","syarifudin","0.00512","lemma_not_found","regional-002"
"2673","desa","desa","0.00306",,"regional-002"
"2674","kalosi","kalosi","0.00528","lemma_not_found","regional-002"
"2675","kecamatan","camat","0.00507",,"regional-002"
"2676","alla","alla","0.00396","lemma_not_found","regional-002"
"2677","enrekang","enrekang","0.00456","lemma_not_found","regional-002"
"2678","sana","sana","0.00313",,"regional-002"
"2679","polisi","polisi","0.00302",,"regional-002"
"2680","menyita","sita","0.00518",,"regional-002"
"2681","sejumlah","jumlah","0.00793",,"regional-002"
"2682","paku","paku","0.00319",,"regional-002"
"2683","peta","peta","0.00305",,"regional-002"
"2684","wilayah","wilayah","0.01223",,"regional-002"
"2685","kecamatan","camat","0.00515",,"regional-002"
"2686","alla","alla","0.00476","lemma_not_found","regional-002"
"2687","buku-buku","buku","0.01302",,"regional-002"
"2688","jihad","jihad","0.00357",,"regional-002"
"2689","dari","dari","0.01249",,"regional-002"
"2690","pengembangan","embang","0.00782",,"regional-002"
"2691","tersebut","sebut","0.00269",,"regional-002"
"2692","diamankan","aman","0.00198",,"regional-002"
"2693","juga","juga","0.00301",,"regional-002"
"2694","saudara","saudara","0.00348",,"regional-002"
"2695","fahri","fahri","0.00450","lemma_not_found","regional-002"
"2696","yang","yang","0.00289",,"regional-002"
"2697","bersangkutan","sangkut","0.00488",,"regional-002"
"2698","dititipi","titip","0.00549",,"regional-002"
"2699","oleh","oleh","0.00310",,"regional-002"
"2700","saudara","saudara","0.00352",,"regional-002"
"2701","syarifudin","syarifudin","0.00478","lemma_not_found","regional-002"
"2702","disimpan","simpan","0.00381",,"regional-002"
"2703","kebunnya","kebun","0.00393",,"regional-002"
"2704","desa","desa","0.00335",,"regional-002"
"2705","bolang","bolang","0.00421","lemma_not_found","regional-002"
"2706","kecamatan","camat","0.00582",,"regional-002"
"2707","alla","alla","0.00439","lemma_not_found","regional-002"
"2708","kabupaten","kabupaten","0.00389",,"regional-002"
"2709","enrekang","enrekang","0.00443","lemma_not_found","regional-002"
"2710","telah","telah","0.00357",,"regional-002"
"2711","disita","sita","0.01405",,"regional-002"
"2712","pipa","pipa","0.00342",,"regional-002"
"2713","serta","serta","0.00351",,"regional-002"
"2714","detonator","detonator","0.00374",,"regional-002"
"2715","terang","terang","0.00316",,"regional-002"
"2716","terakhir","akhir","0.00384",,"regional-002"
"2717","densus","densus","0.00383","lemma_not_found","regional-002"
"2718","melakukan","laku","0.00558",,"regional-002"
"2719","penggeledahan","geledah","0.00570",,"regional-002"
"2720","kebun","kebun","0.00328",,"regional-002"
"2721","milik","milik","0.00319",,"regional-002"
"2722","syarifudin","syarifudin","0.00492","lemma_not_found","regional-002"
"2723","desa","desa","0.00302",,"regional-002"
"2724","bolang","bolang","0.00383","lemma_not_found","regional-002"
"2725","kecamatan","camat","0.00622",,"regional-002"
"2726","alla","alla","0.00266","lemma_not_found","regional-002"
"2727","kabupaten","kabupaten","0.00350",,"regional-002"
"2728","enrekang","enrekang","0.00412","lemma_not_found","regional-002"
"2729","pukul","pukul","0.00347",,"regional-002"
"2730","pada","pada","0.00331",,"regional-002"
"2731","saat","saat","0.00444",,"regional-002"
"2732","polisi","polisi","0.00188",,"regional-002"
"2733","menemukan","temu","0.00373",,"regional-002"
"2734","buah","buah","0.00202",,"regional-002"
"2735","tupperware","tupperware","0.00341","lemma_not_found","regional-002"
"2736","seberat","berat","0.00262",,"regional-002"
"2737","masing-masing","masing-masing","0.00397","lemma_not_found","regional-002"
"2738","kilogram","kilogram","0.00311",,"regional-002"
"2739","buah","buah","0.00306",,"regional-002"
"2740","tupperware","tupperware","0.00496","lemma_not_found","regional-002"
"2741","seberat","berat","0.00389",,"regional-002"
"2742","kilogram","kilogram","0.00323",,"regional-002"
"2743","satu","satu","0.00307",,"regional-002"
"2744","karung","karung","0.00309",,"regional-002"
"2745","amfo","amfo","0.00411","lemma_not_found","regional-002"
"2746","kilogram","kilogram","0.00368",,"regional-002"
"2747","satu","satu","0.00334",,"regional-002"
"2748","kantong","kantong","0.00401",,"regional-002"
"2749","amfo","amfo","0.00456","lemma_not_found","regional-002"
"2750","yang","yang","0.01246",,"regional-002"
"2751","sudah","sudah","0.01265",,"regional-002"
"2752","dicampur","campur","0.00451",,"regional-002"
"2753","dengan","dengan","0.00322",,"regional-002"
"2754","solar","solar","0.00332",,"regional-002"
"2755","kilogram","kilogram","0.00331",,"regional-002"
"2756","pupuk","pupuk","0.00318",,"regional-002"
"2757","urea","urea","0.00319",,"regional-002"
"2758","penggeledahan","geledah","0.00567",,"regional-002"
"2759","tersebut","sebut","0.00411",,"regional-002"
"2760","merupakan","rupa","0.00569",,"regional-002"
"2761","pengembangan","embang","0.00627",,"regional-002"
"2762","atas","atas","0.00308",,"regional-002"
"2763","pemeriksaan","periksa","0.00814",,"regional-002"
"2764","terhadap","hadap","0.01250",,"regional-002"
"2765","terduga","duga","0.00259",,"regional-002"
"2766","teroris","teroris","0.00205",,"regional-002"
"2767","syarifudin","syarifudin","0.00293","lemma_not_found","regional-002"
"2768","fadli","fadli","0.00325","lemma_not_found","regional-002"
"2769","yang","yang","0.00190",,"regional-002"
"2770","ditangkap","tangkap","0.00249",,"regional-002"
"2771","makassar","makassar","0.00251","lemma_not_found","regional-002"
"2772","jumat","Jumat","0.00186",,"regional-002"
"2773","pukul","pukul","0.00324",,"regional-002"
"2774","pada","pada","0.00320",,"regional-002"
"2775","hari","hari","0.00327",,"regional-002"
"2776","densus","densus","0.01406","lemma_not_found","regional-002"
"2777","juga","juga","0.00204",,"regional-002"
"2778","meringkus","ringkus","0.00441",,"regional-002"
"2779","syamsudin","syamsudin","0.00471","lemma_not_found","regional-002"
"2780","alias","alias","0.00343",,"regional-002"
"2781","asmar","asmar","0.00516","lemma_not_found","regional-002"
"2782","alias","alias","0.00308",,"regional-002"
"2783","uswah","uswah","0.00300",,"regional-002"
"2784","ahmad","ahmad","0.00373","lemma_not_found","regional-002"
"2785","khalil","khalil","0.00349",,"regional-002"
"2786","alias","alias","0.00318",,"regional-002"
"2787","hasan","hasan","0.00304",,"regional-002"
"2788","alias","alias","0.00370",,"regional-002"
"2789","kholid","kholid","0.00424","lemma_not_found","regional-002"
"2790","halaman","halaman","0.00356",,"regional-002"
"2791","masjid","masjid","0.00335",,"regional-002"
"2792","nurul","nurul","0.01363","lemma_not_found","regional-002"
"2793","afiat","afiat","0.00346",,"regional-002"
"2794","yang","yang","0.01435",,"regional-002"
"2795","berada","ada","0.00569",,"regional-002"
"2796","rs","rs","0.00158","lemma_not_found","regional-002"
"2797","wahidin","wahidin","0.00251","lemma_not_found","regional-002"
"2798","sudirohusodo","sudirohusodo","0.00291","lemma_not_found","regional-002"
"2799","makassar","makassar","0.00235","lemma_not_found","regional-002"
"2800","sulawesi","sulawesi","0.00366","lemma_not_found","regional-002"
"2801","selatan","Selatan","0.00183",,"regional-002"
"2802","keduanya","dua","0.00298",,"regional-002"
"2803","terpaksa","paksa","0.00234",,"regional-002"
"2804","ditembak","tembak","0.00236",,"regional-002"
"2805","hingga","hingga","0.00311",,"regional-002"
"2806","tewas","tewas","0.00306",,"regional-002"
"2807","karena","karena","0.00317",,"regional-002"
"2808","melakukan","laku","0.00535",,"regional-002"
"2809","perlawanan","lawan","0.00551",,"regional-002"
"2810","saat","saat","0.00362",,"regional-002"
"2811","hendak","hendak","0.00328",,"regional-002"
"2812","ditangkap","tangkap","0.00431",,"regional-002"
"2813","saat","saat","0.00308",,"regional-002"
"2814","penangkapan","tangkap","0.00592",,"regional-002"
"2815","tersebut","sebut","0.00418",,"regional-002"
"2816","polisi","polisi","0.00300",,"regional-002"
"2817","menyita","sita","0.00546",,"regional-002"
"2818","senjata","senjata","0.00344",,"regional-002"
"2819","jenis","jenis","0.00319",,"regional-002"
"2820","dan","dan","0.00317",,"regional-002"
"2821","granat","granat","0.00303",,"regional-002"
"2822","manggis","manggis","0.01232",,"regional-002"
"2823","kemudian","kemudian","0.00394",,"regional-002"
"2824","pukul","pukul","0.00315",,"regional-002"
"2825","densus","densus","0.00444","lemma_not_found","regional-002"
"2826","meringkus","ringkus","0.00408",,"regional-002"
"2827","thamrin","thamrin","0.00433","lemma_not_found","regional-002"
"2828","arbain","arbain","0.00410","lemma_not_found","regional-002"
"2829","pasar","pasar","0.00369",,"regional-002"
"2830","daya","daya","0.00311",,"regional-002"
"2831","makassar","makassar","0.00414","lemma_not_found","regional-002"
"2832","warga","warga","0.00349",,"regional-003"
"2833","antre","antre","0.00208",,"regional-003"
"2834","basuh","basuh","0.00208",,"regional-003"
"2835","muka","muka","0.00153",,"regional-003"
"2836","sumur","sumur","0.00186",,"regional-003"
"2837","dekat","dekat","0.00278",,"regional-003"
"2838","makam","makam","0.00313",,"regional-003"
"2839","banda","banda","0.00304",,"regional-003"
"2840","aceh","aceh","0.01248","lemma_not_found","regional-003"
"2841","kompas","kompas","0.00298",,"regional-003"
"2842","air","air","0.00310",,"regional-003"
"2843","sumur","sumur","0.00320",,"regional-003"
"2844","yang","yang","0.00294",,"regional-003"
"2845","berada","ada","0.00394",,"regional-003"
"2846","dekat","dekat","0.00325",,"regional-003"
"2847","makam","makam","0.00352",,"regional-003"
"2848","ulama","ulama","0.00320",,"regional-003"
"2849","aceh","aceh","0.00407","lemma_not_found","regional-003"
"2850","syech","syech","0.00405","lemma_not_found","regional-003"
"2851","abdurrauf","abdurrauf","0.00484","lemma_not_found","regional-003"
"2852","ali","ali","0.00274",,"regional-003"
"2853","alfansuri","alfansuri","0.00634","lemma_not_found","regional-003"
"2854","atau","atau","0.00303",,"regional-003"
"2855","yang","yang","0.00311",,"regional-003"
"2856","terkenal","kenal","0.00424",,"regional-003"
"2857","dengan","dengan","0.00347",,"regional-003"
"2858","nama","nama","0.00334",,"regional-003"
"2859","teungku","teungku","0.00604","lemma_not_found","regional-003"
"2860","syiah","syiah","0.00395","lemma_not_found","regional-003"
"2861","kuala","kuala","0.00309",,"regional-003"
"2862","gampong","gampong","0.00386","lemma_not_found","regional-003"
"2863","deah","deah","0.00211","lemma_not_found","regional-003"
"2864","raya","raya","0.00322",,"regional-003"
"2865","kecamatan","camat","0.00553",,"regional-003"
"2866","syiah","syiah","0.00164","lemma_not_found","regional-003"
"2867","kuala","kuala","0.00356",,"regional-003"
"2868","kota","kota","0.00345",,"regional-003"
"2869","banda","banda","0.00372",,"regional-003"
"2870","aceh","aceh","0.00262","lemma_not_found","regional-003"
"2871","disesaki","saki","0.00376",,"regional-003"
"2872","pengunjung","unjung","0.00277",,"regional-003"
"2873","yang","yang","0.00187",,"regional-003"
"2874","ingin","ingin","0.00171",,"regional-003"
"2875","membasuh","basuh","0.00426",,"regional-003"
"2876","wajah","wajah","0.00327",,"regional-003"
"2877","atau","atau","0.00298",,"regional-003"
"2878","memandikan","mandi","0.00661",,"regional-003"
"2879","balita","balita","0.00435","lemma_not_found","regional-003"
"2880","para","para","0.00385",,"regional-003"
"2881","peziarah","ziarah","0.00483",,"regional-003"
"2882","rela","rela","0.00345",,"regional-003"
"2883","antre","antre","0.00202",,"regional-003"
"2884","lama","lama","0.00300",,"regional-003"
"2885","untuk","untuk","0.00333",,"regional-003"
"2886","mendapatkan","dapat","0.00372",,"regional-003"
"2887","segayung","gayung","0.00169",,"regional-003"
"2888","sumur","sumur","0.00137",,"regional-003"
"2889","yang","yang","0.01074",,"regional-003"
"2890","berada","ada","0.00196",,"regional-003"
"2891","dekat","dekat","0.00371",,"regional-003"
"2892","kompleks","kompleks","0.00317",,"regional-003"
"2893","makam","makam","0.00350",,"regional-003"
"2894","mulai","mulai","0.00326",,"regional-003"
"2895","dari","dari","0.00311",,"regional-003"
"2896","orang","orang","0.00314",,"regional-003"
"2897","hingga","hingga","0.00311",,"regional-003"
"2898","anak-anak","anak","0.00260",,"regional-003"
"2899","menurut","turut","0.00260",,"regional-003"
"2900","penjaga","jaga","0.00431",,"regional-003"
"2901","makam","makam","0.00367",,"regional-003"
"2902","syech","syech","0.01659","lemma_not_found","regional-003"
"2903","abdurrauf","abdurrauf","0.00397","lemma_not_found","regional-003"
"2904","rosmaniar","rosmaniar","0.00453","lemma_not_found","regional-003"
"2905","ritual","ritual","0.00133",,"regional-003"
"2906","tersebut","sebut","0.00163",,"regional-003"
"2907","tidak","tidak","0.00195",,"regional-003"
"2908","menjurus","jurus","0.00243",,"regional-003"
"2909","pada","pada","0.00328",,"regional-003"
"2910","perbuatan","buat","0.00544",,"regional-003"
"2911","syirik","syirik","0.00240",,"regional-003"
"2912","atau","atau","0.00182",,"regional-003"
"2913","menduakan","dua","0.00303",,"regional-003"
"2914","allah","Allah","0.00180",,"regional-003"
"2915","hanya","hanya","0.00302",,"regional-003"
"2916","sebagai","sebagai","0.00398",,"regional-003"
"2917","tanda","tanda","0.00365",,"regional-003"
"2918","kekaguman","kagum","0.00671",,"regional-003"
"2919","masyarakat","masyarakat","0.00406",,"regional-003"
"2920","aceh","aceh","0.00553","lemma_not_found","regional-003"
"2921","pada","pada","0.00222",,"regional-003"
"2922","ulama","ulama","0.00226",,"regional-003"
"2923","besar","besar","0.00507",,"regional-003"
"2924","menurutnya","turut","0.00212",,"regional-003"
"2925","larangan","larang","0.00167",,"regional-003"
"2926","ritual","ritual","0.00129",,"regional-003"
"2927","yang","yang","0.00135",,"regional-003"
"2928","mengarah","arah","0.00334",,"regional-003"
"2929","kepada","kepada","0.00239",,"regional-003"
"2930","syirik","syirik","0.00268",,"regional-003"
"2931","dibuat","buat","0.00324",,"regional-003"
"2932","secara","cara","0.01154",,"regional-003"
"2933","tertulis","tulis","0.00157",,"regional-003"
"2934","papan","papan","0.00129",,"regional-003"
"2935","pengumuman","umum","0.00259",,"regional-003"
"2936","seperti","seperti","0.00149",,"regional-003"
"2937","dilarang","larang","0.00240",,"regional-003"
"2938","mengambil","ambil","0.00170",,"regional-003"
"2939","batu","batu","0.00127",,"regional-003"
"2940","atau","atau","0.00136",,"regional-003"
"2941","tanah","tanah","0.00128",,"regional-003"
"2942","dengan","dengan","0.00136",,"regional-003"
"2943","maksud","maksud","0.00137",,"regional-003"
"2944","mendapat","dapat","0.00161",,"regional-003"
"2945","berkah","berkah","0.00303",,"regional-003"
"2946","dari","dari","0.00294",,"regional-003"
"2947","benda","benda","0.00230",,"regional-003"
"2948","tersebut","sebut","0.00270",,"regional-003"
"2949","kalau","kalau","0.00206",,"regional-003"
"2950","membasuh","basuh","0.00273",,"regional-003"
"2951","muka","muka","0.00205",,"regional-003"
"2952","atau","atau","0.01196",,"regional-003"
"2953","memandikan","mandi","0.00754",,"regional-003"
"2954","balita","balita","0.00438","lemma_not_found","regional-003"
"2955","tidak","tidak","0.00224",,"regional-003"
"2956","masalah","masalah","0.00261",,"regional-003"
"2957","karena","karena","0.00215",,"regional-003"
"2958","ini","ini","0.00209",,"regional-003"
"2959","juga","juga","0.00202",,"regional-003"
"2960","untuk","untuk","0.00324",,"regional-003"
"2961","wudhu","wudhu","0.00436","lemma_not_found","regional-003"
"2962","tukas","tukas","0.00318",,"regional-003"
"2963","rosmaniar","rosmaniar","0.00534","lemma_not_found","regional-003"
"2964","diakuinya","aku","0.00553",,"regional-003"
"2965","sejak","sejak","0.00319",,"regional-003"
"2966","pagi","pagi","0.00321",,"regional-003"
"2967","hingga","hingga","0.00323",,"regional-003"
"2968","sore","sore","0.00374",,"regional-003"
"2969","hari","hari","0.00341",,"regional-003"
"2970","pengunjung","unjung","0.00462",,"regional-003"
"2971","yang","yang","0.00306",,"regional-003"
"2972","antre","antre","0.00325",,"regional-003"
"2973","ini","ini","0.00318",,"regional-003"
"2974","kian","kian","0.00251",,"regional-003"
"2975","ramai","ramai","0.00242",,"regional-003"
"2976","bahkan","bahkan","0.01141",,"regional-003"
"2977","banyak","banyak","0.00192",,"regional-003"
"2978","warga","warga","0.00191",,"regional-003"
"2979","yang","yang","0.00219",,"regional-003"
"2980","sengaja","sengaja","0.00204",,"regional-003"
"2981","membawa","bawa","0.00250",,"regional-003"
"2982","pulang","pulang","0.00323",,"regional-003"
"2983","sedikit","sedikit","0.01247",,"regional-003"
"2984","untuk","untuk","0.00361",,"regional-003"
"2985","dikonsumsi","konsumsi","0.00423",,"regional-003"
"2986","akses","akses","0.01224",,"regional-004"
"2987","desa-desa","desa","0.00181",,"regional-004"
"2988","larantuka","larantuka","0.00307","lemma_not_found","regional-004"
"2989","makin","makin","0.00201",,"regional-004"
"2990","sulitakses","sulitakses","0.00267","lemma_not_found","regional-004"
"2991","sejumlah","jumlah","0.00437",,"regional-004"
"2992","desa","desa","0.00204",,"regional-004"
"2993","ntt","ntt","0.00219","lemma_not_found","regional-004"
"2994","makin","makin","0.00179",,"regional-004"
"2995","sulit","sulit","0.00196",,"regional-004"
"2996","menyusul","susul","0.00299",,"regional-004"
"2997","hujan","hujan","0.00222",,"regional-004"
"2998","deras","deras","0.00186",,"regional-004"
"2999","yang","yang","0.00359",,"regional-004"
"3000","menyebabkan","sebab","0.00853",,"regional-004"
"3001","sejumlah","jumlah","0.00778",,"regional-004"
"3002","ruas","ruas","0.00336",,"regional-004"
"3003","jalan","jalan","0.00341",,"regional-004"
"3004","tanah","tanah","0.00369",,"regional-004"
"3005","sulit","sulit","0.00308",,"regional-004"
"3006","dilalui","lalu","0.00579",,"regional-004"
"3007","kendaraan","kendara","0.00453",,"regional-004"
"3008","kepala","kepala","0.00373",,"regional-004"
"3009","desa","desa","0.00325",,"regional-004"
"3010","demondei","demondei","0.00703","lemma_not_found","regional-004"
"3011","kecamatan","camat","0.00689",,"regional-004"
"3012","wotanulumado","wotanulumado","0.00208","lemma_not_found","regional-004"
"3013","flores","flores","0.00441","lemma_not_found","regional-004"
"3014","timur","timur","0.00334",,"regional-004"
"3015","wenseslaus","wenseslaus","0.00546","lemma_not_found","regional-004"
"3016","woda","woda","0.00436","lemma_not_found","regional-004"
"3017","larantuka","larantuka","0.00558","lemma_not_found","regional-004"
"3018","rabu","Rabu","0.01186",,"regional-004"
"3019","mengatakan","atak","0.00486",,"regional-004"
"3020","akses","akses","0.00263",,"regional-004"
"3021","jalan","jalan","0.00141",,"regional-004"
"3022","desa","desa","0.01044",,"regional-004"
"3023","demondei","demondei","0.00236","lemma_not_found","regional-004"
"3024","watodei","watodei","0.00733","lemma_not_found","regional-004"
"3025","beludua","beludua","0.00572","lemma_not_found","regional-004"
"3026","desa-desa","desa","0.00301",,"regional-004"
"3027","lain","lain","0.00319",,"regional-004"
"3028","pulau","pulau","0.00232",,"regional-004"
"3029","adonara","adonara","0.00463","lemma_not_found","regional-004"
"3030","yang","yang","0.00130",,"regional-004"
"3031","masih","masih","0.00112",,"regional-004"
"3032","berupa","upa","0.00163",,"regional-004"
"3033","jalan","jalan","0.00313",,"regional-004"
"3034","tanah","tanah","0.00297",,"regional-004"
"3035","sulit","sulit","0.00291",,"regional-004"
"3036","dilalui","lalu","0.00471",,"regional-004"
"3037","kendaraan","kendara","0.00399",,"regional-004"
"3038","biasanya","biasa","0.00452",,"regional-004"
"3039","ojek","ojek","0.00392",,"regional-004"
"3040","sepeda","sepeda","0.00306",,"regional-004"
"3041","motor","motor","0.00297",,"regional-004"
"3042","bisa","bisa","0.00306",,"regional-004"
"3043","tembus","tembus","0.00336",,"regional-004"
"3044","meski","meski","0.00279",,"regional-004"
"3045","jalan","jalan","0.00292",,"regional-004"
"3046","buruk","buruk","0.00285",,"regional-004"
"3047","tetapi","tetapi","0.00317",,"regional-004"
"3048","musim","musim","0.00307",,"regional-004"
"3049","hujan","hujan","0.00303",,"regional-004"
"3050","seperti","seperti","0.01244",,"regional-004"
"3051","sekarang","sekarang","0.00351",,"regional-004"
"3052","sepeda","sepeda","0.00342",,"regional-004"
"3053","motor","motor","0.00327",,"regional-004"
"3054","tak","tak","0.00389",,"regional-004"
"3055","bisa","bisa","0.00328",,"regional-004"
"3056","lewat","lewat","0.00347",,"regional-004"
"3057","jalan","jalan","0.01173",,"regional-004"
"3058","tanah","tanah","0.00375",,"regional-004"
"3059","sangat","sangat","0.00224",,"regional-004"
"3060","licin","licin","0.00206",,"regional-004"
"3061","terjadi","jadi","0.00424",,"regional-004"
"3062","longsor","longsor","0.00309",,"regional-004"
"3063","beberapa","beberapa","0.00371",,"regional-004"
"3064","titik","titik","0.01298",,"regional-004"
"3065","struktur","struktur","0.00362",,"regional-004"
"3066","jalan","jalan","0.00229",,"regional-004"
"3067","menanjak","tanjak","0.01219",,"regional-004"
"3068","kata","kata","0.00193",,"regional-004"
"3069","woda","woda","0.00483","lemma_not_found","regional-004"
"3070","warga","warga","0.00315",,"regional-004"
"3071","desa","desa","0.00320",,"regional-004"
"3072","kembali","kembali","0.00310",,"regional-004"
"3073","mengandalkan","andal","0.00711",,"regional-004"
"3074","ternak","ternak","0.00333",,"regional-004"
"3075","kuda","kuda","0.00336",,"regional-004"
"3076","atau","atau","0.00183",,"regional-004"
"3077","tenaga","tenaga","0.00312",,"regional-004"
"3078","manusia","manusia","0.00345",,"regional-004"
"3079","untuk","untuk","0.00321",,"regional-004"
"3080","mengangkut","angkut","0.00400",,"regional-004"
"3081","barang","barang","0.00357",,"regional-004"
"3082","hasil","hasil","0.00320",,"regional-004"
"3083","pertanian","tani","0.01536",,"regional-004"
"3084","pusat","pusat","0.00334",,"regional-004"
"3085","pemasaran","pasar","0.00823",,"regional-004"
"3086","waiwerang","waiwerang","0.00559","lemma_not_found","regional-004"
"3087","baniona","baniona","0.00526","lemma_not_found","regional-004"
"3088","waiwadan","waiwadan","0.00694","lemma_not_found","regional-004"
"3089","atau","atau","0.00364",,"regional-004"
"3090","larantuka","larantuka","0.01396","lemma_not_found","regional-004"
"3091","kondisi","kondisi","0.00344",,"regional-004"
"3092","jalan","jalan","0.01278",,"regional-004"
"3093","desa","desa","0.00411",,"regional-004"
"3094","sulit","sulit","0.00117",,"regional-004"
"3095","dilalui","lalu","0.00165",,"regional-004"
"3096","pada","pada","0.00148",,"regional-004"
"3097","musim","musim","0.00130",,"regional-004"
"3098","hujan","hujan","0.00124",,"regional-004"
"3099","tidak","tidak","0.00303",,"regional-004"
"3100","hanya","hanya","0.00300",,"regional-004"
"3101","flores","flores","0.00420","lemma_not_found","regional-004"
"3102","timur","timur","0.00328",,"regional-004"
"3103","tetapi","tetapi","0.00356",,"regional-004"
"3104","menyeluruh","seluruh","0.00631",,"regional-004"
"3105","kabupaten","kabupaten","0.00247",,"regional-004"
"3106","hanya","hanya","0.01179",,"regional-004"
"3107","jalan","jalan","0.00134",,"regional-004"
"3108","jalan","jalan","0.00128",,"regional-004"
"3109","kota","kota","0.00130",,"regional-004"
"3110","kupang","kupang","0.01127",,"regional-004"
"3111","masih","masih","0.00206",,"regional-004"
"3112","dilalui","lalu","0.00455",,"regional-004"
"3113","kendaraan","kendara","0.01202",,"regional-004"
"3114","dengan","dengan","0.01272",,"regional-004"
"3115","mudah","mudah","0.00403",,"regional-004"
"3116","enggan","enggan","0.01290",,"regional-005"
"3117","lengser","lengser","0.00218",,"regional-005"
"3118","kabar","kabar","0.00223",,"regional-005"
"3119","bupati","bupati","0.01118",,"regional-005"
"3120","aceng","aceng","0.01139","lemma_not_found","regional-005"
"3121","jakarta","jakarta","0.00175","lemma_not_found","regional-005"
"3122","kompas","kompas","0.00159",,"regional-005"
"3123","bupati","bupati","0.00165",,"regional-005"
"3124","garut","garut","0.00136",,"regional-005"
"3125","aceng","aceng","0.00153","lemma_not_found","regional-005"
"3126","fikri","fikri","0.00283","lemma_not_found","regional-005"
"3127","belum","belum","0.00269",,"regional-005"
"3128","memberikan","ikan","0.00271",,"regional-005"
"3129","jawaban","jawab","0.01230",,"regional-005"
"3130","kepada","kepada","0.01167",,"regional-005"
"3131","mahkamah","mahkamah","0.00366",,"regional-005"
"3132","agung","agung","0.00399",,"regional-005"
"3133","terkait","kait","0.00456",,"regional-005"
"3134","rekomendasi","rekomendasi","0.00397",,"regional-005"
"3135","pemakzulannya","makzul","0.00695",,"regional-005"
"3136","oleh","oleh","0.00224",,"regional-005"
"3137","dprd","dprd","0.00286","lemma_not_found","regional-005"
"3138","kabupaten","kabupaten","0.00252",,"regional-005"
"3139","garut","garut","0.01132",,"regional-005"
"3140","padahal","padahal","0.00125",,"regional-005"
"3141","sudah","sudah","0.00206",,"regional-005"
"3142","delapan","delapan","0.00354",,"regional-005"
"3143","hari","hari","0.00518",,"regional-005"
"3144","rekomendasi","rekomendasi","0.00204",,"regional-005"
"3145","dprd","dprd","0.00135","lemma_not_found","regional-005"
"3146","diterima","terima","0.00197",,"regional-005"
"3147","mahkamah","mahkamah","0.00140",,"regional-005"
"3148","agung","agung","0.00142",,"regional-005"
"3149","terhitung","hitung","0.00177",,"regional-005"
"3150","sejak","sejak","0.00129",,"regional-005"
"3151","surat","surat","0.00136",,"regional-005"
"3152","tersebut","sebut","0.00176",,"regional-005"
"3153","masuk","masuk","0.00361",,"regional-005"
"3154","pada","pada","0.00289",,"regional-005"
"3155","januari","Januari","0.00338",,"regional-005"
"3156","aceng","aceng","0.00553","lemma_not_found","regional-005"
"3157","belum","belum","0.00158",,"regional-005"
"3158","mengirimkan","kirim","0.00322",,"regional-005"
"3159","memberikan","ikan","0.00191",,"regional-005"
"3160","jawabannya","jawab","0.00195",,"regional-005"
"3161","kepada","kepada","0.00145",,"regional-005"
"3162","kata","kata","0.00145",,"regional-005"
"3163","kepala","kepala","0.00135",,"regional-005"
"3164","biro","biro","0.00128",,"regional-005"
"3165","hukum","hukum","0.00376",,"regional-005"
"3166","humas","humas","0.01254",,"regional-005"
"3167","ridwan","ridwan","0.00370","lemma_not_found","regional-005"
"3168","mansyur","mansyur","0.00425","lemma_not_found","regional-005"
"3169","jakarta","jakarta","0.00434","lemma_not_found","regional-005"
"3170","rabu","Rabu","0.00314",,"regional-005"
"3171","ridwan","ridwan","0.00617","lemma_not_found","regional-005"
"3172","mengatakan","atak","0.00698",,"regional-005"
"3173","memberikan","ikan","0.00500",,"regional-005"
"3174","batas","batas","0.00300",,"regional-005"
"3175","hingga","hingga","0.00359",,"regional-005"
"3176","januari","Januari","0.00439",,"regional-005"
"3177","untuk","untuk","0.00143",,"regional-005"
"3178","aceng","aceng","0.01277","lemma_not_found","regional-005"
"3179","agar","agar","0.01198",,"regional-005"
"3180","memberikan","ikan","0.00524",,"regional-005"
"3181","tanggapan","tanggap","0.00465",,"regional-005"
"3182","atas","atas","0.00329",,"regional-005"
"3183","surat","surat","0.00173",,"regional-005"
"3184","rekomendasi","rekomendasi","0.00286",,"regional-005"
"3185","dprd","dprd","0.01114","lemma_not_found","regional-005"
"3186","aceng","aceng","0.00174","lemma_not_found","regional-005"
"3187","terangnya","terang","0.01075",,"regional-005"
"3188","menyerahkan","serah","0.00897",,"regional-005"
"3189","jawabannya","jawab","0.00505",,"regional-005"
"3190","maksimal","maksimal","0.01286",,"regional-005"
"3191","hari","hari","0.00367",,"regional-005"
"3192","terhitung","hitung","0.01146",,"regional-005"
"3193","setelah","telah","0.00239",,"regional-005"
"3194","perkara","perkara","0.00147",,"regional-005"
